ID	DOCULECT	CONCEPT	CONCEPTICON_ID	ALIGNMENT	COGID
1	Piedmontese	I	1	m i	3
2	Piedmontese	YOU_S	2	t i	0
3	Piedmontese	HE	3	ʧ ɘ ı	0
4	Piedmontese	WE	4	n u j	0
5	Piedmontese	YOU_P	5	l u r	0
6	Piedmontese	ALL	6	t y t	0
7	Piedmontese	MANY	7	t a ŋ t	0
8	Piedmontese	SOME	8	ʧ e r t i d y n	0
9	Piedmontese	SOME	8	k w a i k	1
10	Piedmontese	EAR	9	u r i j a	0
11	Piedmontese	EYE	10	ø ʧ	0
12	Piedmontese	NOSE	11	n a s	0
13	Piedmontese	BEAUTIFUL	12	b e l	0
14	Piedmontese	SMELL	13	s ɛ ŋ t i	0
15	Piedmontese	FEAR	14	t ɘ m m e	0
16	Piedmontese	SLEEP	15	d y r m i	0
17	Piedmontese	RIVER	16	f j y m	0
18	Piedmontese	CLOUD	17	n i v u l a	0
19	Piedmontese	ICE	18	ʣ a s a	0
20	Piedmontese	COLD	19	f r ɛ j d	0
21	Piedmontese	GOOD	20	b u ŋ	0
22	Piedmontese	BAD	21	m a l	0
23	Piedmontese	BECAUSE	22	p ɘ r k ɛ	0
24	Piedmontese	SAY	23	d i	0
25	Piedmontese	LIVE	24	v i v e	0
26	Piedmontese	FISCH	25	p e s	0
27	Piedmontese	MOTHER	26	m a m a ŋ	0
28	Spanish	I	1	ɟ o	1
29	Spanish	YOU_S	2	t u	0
30	Spanish	HE	3	e l	0
31	Spanish	WE	4	n o s o t r o s	1
32	Spanish	YOU_P	5	b o s o t r o s	1
33	Spanish	ALL	6	t o ð o	0
34	Spanish	MANY	7	m u ʧ o	1
35	Spanish	SOME	8	a l ɣ u n o	2
36	Spanish	EAR	9	o ɾ e x a	0
37	Spanish	EYE	10	o x o	0
38	Spanish	NOSE	11	n a ɾ i θ	0
39	Spanish	BEAUTIFUL	12	b o n i t o	1
149	Spanish	BEAUTIFUL	12	e r m o s o	3
